"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 12:00:00","summer"
"Washington, D.C.","Clear",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 12:00:00","summer"
"Washington, D.C.","Clear",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 15:00:00","summer"
"Washington, D.C.","Clear",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 15:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 18:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 18:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 21:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-17 21:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 00:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 00:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 03:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 03:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 06:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 06:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 09:00:00","summer"
"Washington, D.C.","Clouds",10000,0.66,0.66,3.69,1019,46,1.74,110,"2023-03-18 09:00:00","summer"
